Credential Issuance,Presentation Verification
0.002383947372437,0.000231504440308
0.002768039703369,0.000271320343018
0.003228187561035,0.000318288803101
0.003425359725952,0.00035572052002
0.003945589065552,0.000422477722168
0.004261016845703,0.000462293624878
0.004201412200927734,0.0005164146423339844
0.004180908203125,0.0004458427429199219
0.004189491271972656,0.00044918060302734375
0.0023458003997802734,0.00022459030151367188
0.0025603771209716797,0.0002498626708984375
0.002363443374633789,0.00024199485778808594
0.0027093887329101562,0.0002532005310058594
0.002355337142944336,0.00026607513427734375
0.0023946762084960938,0.00022411346435546875
0.002385377883911133,0.00022649765014648438
0.002347707748413086,0.00023436546325683594
0.002407073974609375,0.0002598762512207031
0.002444028854370117,0.00024127960205078125
0.0023772716522216797,0.00022363662719726562
0.0023527145385742188,0.00024509429931640625
0.0023589134216308594,0.0002300739288330078
0.002742767333984375,0.0002899169921875
0.002407073974609375,0.00022912025451660156
2.4483203887939453,0.2300739288330078
2.3813247680664062,0.2448558807373047
2.592802047729492,0.2560615539550781
2.3632049560546875,0.23221969604492188
